exercise, weight, weight expr, reps, date
as pull up, 27, BW-27, 11, 2025-01-13
as pull up, 32, BW-32, 21, 2025-01-13
as pull up, 41, BW-41, 35, 2025-04-11
bb bp, 20, 20+0, 63, 2025-04-14
bb bp, 30, 20+2x5, 33, 2024-11-21
bb bp, 35 20+2x7.5, 21, 2025-04-04
bb bp, 40, 20+2x10, 24, 2024-12-29
bb bp, 50, 20+2x15, 11, 2025-03-18
bb bp, 55, 20+2x17.5, 8, 2024-08-13
bb bp, 57.5, 20+2x18.75, 5, 2024-08-07
bb bp, 60, 20+2x20,  7, 2024-12-29
bb bp, 65, 20+2x22.5,  1, 2025-01-07
bb dl, 30, 20+2x5, 35, 2024-11-14
bb dl, 40, 20+2x10, 30, 2025-02-20
bb dl, 50, 20+2x15, 25, 2024-10-24
bb dl, 60, 20+2x20, 24, 2024-12-23
bb dl, 70, 20+2x25, 18, 2025-04-09
bb dl, 80, 20+2x30, 12, 2025-02-07
bb dl, 90, 20+2x35, 10, 2024-12-27
bb dl, 100, 20+2x40, 6, 2025-01-14
bb dl, 110, 20+2x45, 1, 2025-01-08
bb dl, 92.5, 20+2x36.25, 6, 2024-12-23
bb dl, 95,  20+2x37.5, 4, 2024-08-07
bb dl, 100, 20+2x40, 6, 2025-03-25
bb dl, 110, 20+2x45, 1, 2025-01-06
bb p,  20, 20+0, 22, 2025-01-17
bb p,  30, 20+2x5, 11, 2024-12-25
bb p,  35, 20+2x7.5, 6, 2024-12-25
bb p,  40, 20+2x10, 5, 2025-03-12
bb p,  45, 20+2x12.5, 1, 2025-01-07
bb r,  20, 20+0, 35, 2024-10-11
bb r,  30, 20+2x5, 18, 2024-10-11
bb r,  40, 20+2x10, 13, 2024-12-11
bb r,  50, 20+2x15, 7, 2025-01-07
bb sc, 20, 20+0, 10, 2024-12-29
bb sq, 20, 20+0, 50, 2024-11-14
bb sq, 50, 20+2x15, 22, 2025-02-11
bb sq, 60, 20+2x20, 18, 2025-04-09
bb sq, 70, 20+2x25, 12, 2025-03-12
bb sq, 80, 20+2x30, 5, 2024-10-10
bb sq, 90, 20+2x35, 7, 2025-04-16
bb ur, 20, 20+0, 21, 2025-04-08
bb ur, 25, 20+2x2.5, 12, 2024-12-25
bb ur, 30, 20+2x5, 11, 2024-12-31
bb ur, 40, 20+2x10, 3, 2025-01-0
db bicep curl, 16, 2x8, 10, 2024-07-28
db bicep curl, 20, 2x10, 10, 2024-06-18
db bicep curl, 24, 2x12, 6, 2024-06-18
db overhead extension, 6, 1x6, 41, 2025-04-11
db overhead extension, 8, 1x8, 22, 2025-03-28
db overhead extension, 10, 1x10, 21, 2025-04-14
db overhead extension, 14, 1x14, 13, 2025-01-16
lv leg press, 100, +100, 10, 2024-10-03
pl chest press, 41, 2x5.5+2x15, 12, 2024-12-13
pl chest press, 61, 2x5.5+2x25, 5, 2024-12-13
situp, #2, bw, 23, 2025-04-11
situp, #3, bw, 12, 2024-12-16
